player_name,dg_id
"Young, Cameron",26651
"Gotterup, Chris",27774
"Kim, Si Woo",14609
"Schauffele, Xander",19895
"Cantlay, Patrick",15466
"Spaun, J.J.",17536
"Griffin, Ben",24968
"Clark, Wyndham",23604
"Henley, Russell",14578
"Matsuyama, Hideki",13562
"Koivun, Jackson",32319
"Gerard, Ryan",29767
"Knapp, Jake",19396
"Hojgaard, Nicolai",23602
"Thorbjornsen, Michael",26649
"English, Harris",14577
"Bhatia, Akshay",26096
"Bradley, Keegan",13872
"Bridgeman, Jacob",29433
"Thompson, Davis",27364
"Fowler, Rickie",12965
"Conners, Corey",17576
"Smith, Jordan",18586
"Meissner, Mac",28159
"Ghim, Doug",24550
"Hisatsune, Ryo",22760
"Im, Sungjae",17488
"Brennan, Michael",29197
"Neergaard-Petersen, Rasmus",23841
"Kim, Michael",17543
"Wallace, Matt",20706
"Cole, Eric",21756
"Kohles, Ben",16395
"James, Ben",29827
"Greyserman, Max",23465
"Suber, Jackson",29279
"Stevens, Sam",25569
"Bezuidenhout, Christiaan",18103
"Novak, Andrew",23475
"McCarthy, Denny",19870
"Taylor, Nick",13126
"Finau, Tony",11676
"Yu, Kevin",17881
"Dou, Zecheng",16757
"Spieth, Jordan",14636
"Grillo, Emiliano",12808
"Keefer, Johnny",32457
"Mouw, William",29770
"Penge, Marco",22465
"Coody, Pierceson",28309
"Hossler, Beau",15470
"Castillo, Ricky",27819
"Hodges, Lee",25157
"Kirk, Chris",12423
"McGreevy, Max",23505
"Moore, Taylor",21944
"Hughes, Mackenzie",15556
"Fisk, Steven",26657
"Potgieter, Aldrich",27900
"Yellamaraju, Sudarshan",29925
"Parry, John",13764
"Hall, Harry",27194
"Bauchou, Zach",19846
"Roy, Kevin",18424
"McCarty, Matt",28635
"Echavarria, Nico",22833
"Pendrith, Taylor",17780
"Nakajima, Keita",21074
"Schmid, Matti",20722
"Hoey, Rico",23504
"Blair, Zac",17639
"Smotherman, Austin",22985
"Svensson, Jesper",26850
"Jaeger, Stephan",16394
"Hojgaard, Rasmus",23838
"Horschel, Billy",11276
"Ventura, Kristoffer",15651
"Power, Seamus",10104
"Putnam, Andrew",14704
"Phillips, Chandler",27164
"Glover, Lucas",7399
"Olesen, Thorbjorn",13412
"Fishburn, Patrick",25094
"Dumont De Chassart, Adrien",22002
"Hubbard, Mark",16333
"Ewart, A.J.",21883
"Dahmen, Joel",14509
"Rodgers, Patrick",16283
"Li, Haotong",15310
"Shipley, Neal",32055
"Eckroat, Austin",26653
"Kanaya, Takumi",19729
"Hoge, Tom",15575
"Higgo, Garrick",24342
"Ramey, Chad",19840
"Pavon, Matthieu",19960
"Whaley, Vince",25908
"Vilips, Karl",24304
"Blanchet, Chandler",24956
"Chatfield, Davis",30620
"Kuchar, Matt",6169
"Van Rooyen, Erik",17550
"Clanton, Luke",32330
"Nyholm, Pontus",25475
"Lipsky, David",15980
"Saddier, Adrien",14792
"Crowe, Trace",27780
"Griffin, Lanto",15330
"Springer, Hayden",21995
"Lebioda, Hank",21943
"Wu, Dylan",25002
"Silverman, Ben",17381
"Snedeker, Brandt",8820
"Dunlap, Nick",28270
"Highsmith, Joe",28469
"VanDerLaan, John",25319
"Streelman, Kevin",8480
"Simpson, Webb",11049
"Garnett, Brice",11451
"Svensson, Adam",13997
"Wise, Aaron",22051
"Davis, Cam",17786
"Schenk, Adam",19477
"Lower, Justin",17723
"Mazzoli, Stefano",20844
"Tosti, Alejandro",17032
"Kang, Jeffrey",21889
"Jennings, William",35417
"Sargent, Gordon",30814
"Riley, Davis",19872
"Campbell, Brian",18628
"Hirata, Kensei",20954
"Malnati, Peter",14926
"Walker, Danny",25003
"Rozo, Marcelo",16591
"Campos, Rafael",12909
"Kizzire, Patton",13470
"Lamprecht, Christo",24343
"Huskey, Keenan",26597
"Wilkes-Krier, Patrick",14001
"Ruffels, Ryan",17169
"Todd, Brendon",12425
"Dalke, Brad",21501
"Quiban, Justin",15981
"Hooks, Joe",33913
"Azallion, Daniel",35071
"Celano, Ryan",29665
