time_period,stat,player_name,50_100_fw_shot_count,50_100_fw_value,100_150_fw_shot_count,100_150_fw_value,150_200_fw_shot_count,150_200_fw_value,over_200_fw_shot_count,over_200_fw_value,under_150_rgh_shot_count,under_150_rgh_value,over_150_rgh_shot_count,over_150_rgh_value
l12_months,good shot (over +0.5 sg) rate,"Rosenmueller, Thomas",45,0.089,118,0.127,136,0.059,80,0.025,56,0.036,34,0.088
l12_months,good shot (over +0.5 sg) rate,"Molinari, Francesco",null,null,56,0.125,92,0.098,40,0.05,12,0,null,null
l12_months,good shot (over +0.5 sg) rate,"Merritt, Troy",35,0.057,104,0.125,144,0.042,74,0.081,63,0.079,43,0.047
l12_months,good shot (over +0.5 sg) rate,"Capan III, Frankie",20,0.1,66,0.121,90,0.033,32,0.031,55,0.036,50,0.06
l12_months,good shot (over +0.5 sg) rate,"Burns, Sam",127,0.102,329,0.119,412,0.051,217,0.069,133,0.083,140,0.05
l12_months,good shot (over +0.5 sg) rate,"Henley, Russell",86,0.128,291,0.117,452,0.066,214,0.051,88,0.08,93,0.032
l12_months,good shot (over +0.5 sg) rate,"Crowe, Trace",33,0.03,108,0.111,111,0.036,63,0.032,49,0.061,36,0.028
l12_months,good shot (over +0.5 sg) rate,"Piercy, Scott",14,0,45,0.111,55,0.036,29,0.103,20,0.2,null,null
l12_months,good shot (over +0.5 sg) rate,"Fitzpatrick, Alex",44,0.091,111,0.108,190,0.047,101,0.03,50,0.06,50,0.06
l12_months,good shot (over +0.5 sg) rate,"Meronk, Adrian",55,0.036,177,0.107,233,0.039,120,0.05,113,0.053,97,0.031
l12_months,good shot (over +0.5 sg) rate,"Rai, Aaron",59,0.102,262,0.107,389,0.069,197,0.056,58,0.069,73,0.014
l12_months,good shot (over +0.5 sg) rate,"Bridgeman, Jacob",99,0.121,365,0.107,509,0.061,274,0.077,136,0.051,170,0.053
l12_months,good shot (over +0.5 sg) rate,"Lahiri, Anirban",49,0.041,207,0.106,210,0.048,126,0.032,102,0.098,52,0.058
l12_months,good shot (over +0.5 sg) rate,"Potgieter, Aldrich",72,0.083,179,0.106,277,0.076,154,0.097,143,0.035,125,0.056
l12_months,good shot (over +0.5 sg) rate,"Kohles, Ben",42,0.143,198,0.106,264,0.057,130,0.046,44,0.091,45,0.067
l12_months,good shot (over +0.5 sg) rate,"Duncan, Tyler",18,0.222,86,0.105,86,0.128,59,0.017,18,0.111,21,0.048
l12_months,good shot (over +0.5 sg) rate,"Johnson, Zach",33,0.03,87,0.103,117,0.034,55,0.036,11,0,23,0.043
l12_months,good shot (over +0.5 sg) rate,"Highsmith, Joe",60,0.117,303,0.102,369,0.065,165,0.061,133,0.045,141,0.035
l12_months,good shot (over +0.5 sg) rate,"Streb, Robert",18,0.111,49,0.102,64,0.031,44,0.023,21,0.048,26,0.038
l12_months,good shot (over +0.5 sg) rate,"La Sasso, Michael",53,0.094,147,0.102,188,0.059,99,0.04,103,0.039,81,0.025
l12_months,good shot (over +0.5 sg) rate,"Aberg, Ludvig",77,0.169,287,0.101,392,0.061,192,0.052,127,0.087,114,0.061
l12_months,good shot (over +0.5 sg) rate,"Hovland, Viktor",75,0.16,229,0.1,393,0.069,224,0.054,87,0.092,121,0.083
l12_months,good shot (over +0.5 sg) rate,"Hojgaard, Nicolai",84,0.119,240,0.1,331,0.06,173,0.058,143,0.021,149,0.081
l12_months,good shot (over +0.5 sg) rate,"Suber, Jackson",73,0.068,240,0.1,334,0.051,156,0.083,121,0.041,98,0.031
l12_months,good shot (over +0.5 sg) rate,"Hadley, Chesson",16,0.125,40,0.1,55,0.073,null,null,13,0,null,null
l12_months,good shot (over +0.5 sg) rate,"Blanchet, Chandler",71,0.07,201,0.1,306,0.049,149,0.06,80,0.037,76,0.039
l12_months,good shot (over +0.5 sg) rate,"Morikawa, Collin",71,0.127,262,0.099,397,0.068,193,0.067,90,0.078,93,0.022
l12_months,good shot (over +0.5 sg) rate,"Ryder, Sam",65,0.077,192,0.099,288,0.056,115,0.061,86,0.105,86,0.047
l12_months,good shot (over +0.5 sg) rate,"Kirk, Chris",73,0.137,235,0.098,329,0.052,158,0.076,116,0.112,107,0.065
l12_months,good shot (over +0.5 sg) rate,"Norlander, Henrik",15,0,82,0.098,131,0.053,52,0.077,39,0.103,44,0.023
l12_months,good shot (over +0.5 sg) rate,"Stout, Preston",17,0.059,62,0.097,72,0.042,44,0.091,26,0,22,0.045
l12_months,good shot (over +0.5 sg) rate,"Noh, S.Y.",18,0,42,0.095,73,0.014,39,0.128,12,0,19,0.053
l12_months,good shot (over +0.5 sg) rate,"Kim, Si Woo",103,0.097,305,0.095,498,0.074,285,0.095,120,0.058,133,0.068
l12_months,good shot (over +0.5 sg) rate,"Yellamaraju, Sudarshan",50,0.1,264,0.095,347,0.035,153,0.059,112,0.054,111,0.054
l12_months,good shot (over +0.5 sg) rate,"Noren, Alex",72,0.111,233,0.094,410,0.039,210,0.048,99,0.121,128,0.07
l12_months,good shot (over +0.5 sg) rate,"Buckley, Hayden",15,0.2,53,0.094,78,0.038,null,null,26,0.077,null,null
l12_months,good shot (over +0.5 sg) rate,"Lowry, Shane",85,0.118,276,0.094,365,0.066,190,0.079,101,0.099,131,0.061
l12_months,good shot (over +0.5 sg) rate,"Kim, Minkyu",50,0.08,160,0.094,194,0.041,104,0.01,87,0.069,72,0.028
l12_months,good shot (over +0.5 sg) rate,"Rahm, Jon",79,0.101,247,0.093,299,0.057,173,0.104,151,0.04,96,0.073
l12_months,good shot (over +0.5 sg) rate,"Bryant, Davis",null,null,43,0.093,null,null,null,null,null,null,null,null
l12_months,good shot (over +0.5 sg) rate,"Gomez, Fabian",11,0.091,86,0.093,113,0.097,80,0.013,25,0.04,22,0.091
l12_months,good shot (over +0.5 sg) rate,"Young, Carson",27,0.111,162,0.093,179,0.061,89,0.056,49,0.122,45,0.022
l12_months,good shot (over +0.5 sg) rate,"Ormsby, Wade",14,0,65,0.092,70,0.014,28,0,19,0.053,null,null
l12_months,good shot (over +0.5 sg) rate,"Hardy, Nick",37,0.081,109,0.092,157,0.051,78,0.013,71,0.07,47,0.043
l12_months,good shot (over +0.5 sg) rate,"Simpson, Webb",36,0.139,120,0.092,156,0.051,66,0.045,65,0.046,65,0.015
l12_months,good shot (over +0.5 sg) rate,"Kaymer, Martin",54,0.148,175,0.091,217,0.046,116,0.052,93,0.118,100,0.08
l12_months,good shot (over +0.5 sg) rate,"McKibbin, Tom",57,0.053,233,0.09,302,0.05,152,0.026,109,0.055,65,0.046
l12_months,good shot (over +0.5 sg) rate,"Grillo, Emiliano",64,0.031,300,0.09,431,0.053,202,0.079,108,0.046,101,0.04
l12_months,good shot (over +0.5 sg) rate,"Rose, Justin",70,0.157,225,0.089,348,0.057,200,0.06,85,0.106,121,0.058
l12_months,good shot (over +0.5 sg) rate,"Jaeger, Stephan",83,0.096,259,0.089,342,0.058,181,0.033,160,0.119,147,0.048
l12_months,good shot (over +0.5 sg) rate,"Smith, Jordan",65,0.092,214,0.089,343,0.064,148,0.068,72,0.069,121,0.066
l12_months,good shot (over +0.5 sg) rate,"Casey, Paul",43,0.093,158,0.089,186,0.07,105,0.048,71,0.014,62,0.032
l12_months,good shot (over +0.5 sg) rate,"Garnett, Brice",73,0.027,237,0.089,303,0.053,127,0.047,69,0.13,102,0.049
l12_months,good shot (over +0.5 sg) rate,"Smylie, Elvis",40,0.125,158,0.089,208,0.029,100,0.05,69,0.058,67,0.015
l12_months,good shot (over +0.5 sg) rate,"Thomas, Justin",78,0.051,261,0.088,376,0.051,186,0.054,138,0.058,121,0.074
