RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,60004,Jacob Bridgeman,1.339,40.174,30
2,0,47420,Jake Knapp,1.285,32.126,25
3,0,51894,Vince Whaley,1.046,25.114,24
4,0,52215,Robert MacIntyre,0.869,22.581,26
5,1,23108,Matt Kuchar,0.838,10.898,13
6,1,48153,Matthieu Pavon,0.790,21.331,27
7,1,47983,Chad Ramey,0.738,24.342,33
8,1,35461,Beau Hossler,0.735,13.221,18
9,1,56630,Akshay Bhatia,0.730,16.053,22
10,1,54304,Karl Vilips,0.648,13.607,21
11,1,34099,Harris English,0.627,16.931,27
12,1,47504,Sam Burns,0.625,12.500,20
13,1,60386,Sudarshan Yellamaraju,0.616,17.248,28
14,1,52686,Rasmus Højgaard,0.590,13.568,23
15,1,32102,Rickie Fowler,0.589,15.313,26
16,1,46046,Scottie Scheffler,0.547,12.029,22
17,1,34098,Russell Henley,0.537,11.821,22
18,1,27349,Alex Noren,0.514,11.318,22
19,1,50286,A.J. Ewart,0.513,13.847,27
20,1,45522,Christiaan Bezuidenhout,0.496,12.406,25
21,1,52453,Nicolai Højgaard,0.488,13.180,27
22,1,47917,Takumi Kanaya,0.486,14.593,30
23,1,36326,David Lipsky,0.485,6.302,13
24,1,57900,Chandler Phillips,0.484,13.057,27
24,1,37275,Sam Ryder,0.484,9.199,19
26,1,28089,Jason Day,0.482,10.112,21
27,1,37378,Min Woo Lee,0.457,11.889,26
28,1,57975,Harry Hall,0.455,10.916,24
29,1,51600,Jimmy Stanger,0.444,6.659,15
29,1,51634,Sahith Theegala,0.444,15.526,35
31,1,47995,Davis Riley,0.436,8.287,19
32,1,31323,Gary Woodland,0.432,9.065,21
33,1,27214,Kevin Streelman,0.421,5.891,14
34,1,47993,Denny McCarthy,0.353,10.934,31
35,1,50188,S.H. Kim,0.349,9.417,27
35,1,48081,Xander Schauffele,0.349,8.718,25
37,1,33204,Shane Lowry,0.348,6.970,20
38,1,47591,Eric Cole,0.341,9.220,27
39,1,49947,Taylor Moore,0.322,8.054,25
40,2,57366,Cameron Young,0.313,7.205,23
41,2,39975,Michael Kim,0.312,9.060,29
42,2,59440,Ricky Castillo,0.298,7.459,25
42,2,36799,Stephan Jaeger,0.298,8.929,30
44,2,46442,Maverick McNealy,0.286,8.308,29
45,2,29936,Ryan Fox,0.276,4.962,18
46,2,32839,Hideki Matsuyama,0.271,8.399,31
47,2,40006,Erik van Rooyen,0.265,5.300,20
48,2,35506,Mackenzie Hughes,0.262,6.809,26
49,2,52666,Sami Valimaki,0.252,5.550,22
50,2,35658,Kris Ventura,0.238,2.854,12
51,2,34466,Peter Malnati,0.236,4.242,18
52,2,52955,Ludvig Åberg,0.227,4.768,21
53,2,51977,Max Greyserman,0.221,4.637,21
54,2,34046,Jordan Spieth,0.217,6.496,30
55,2,59018,Ryan Gerard,0.204,5.917,29
56,2,27649,Brandt Snedeker,0.202,2.421,12
57,0,39971,Sungjae Im,0.197,2.367,12
58,1,59141,Matt McCarty,0.191,5.932,31
59,1,22405,Justin Rose,0.170,2.725,16
60,1,55851,Pontus Nyholm,0.163,2.934,18
61,1,54591,Ben Griffin,0.156,4.359,28
61,1,46340,Alex Smalley,0.156,5.465,35
63,2,28252,Seamus Power,0.140,3.508,25
64,2,39335,Kevin Roy,0.137,4.099,30
65,2,59866,Nick Dunlap,0.133,1.731,13
66,2,29420,Billy Horschel,0.125,3.880,31
67,2,36699,Patrick Rodgers,0.101,3.720,37
68,2,48001,Zach Bauchou,0.094,2.721,29
68,2,28723,John Parry,0.094,2.737,29
70,2,34256,Andrew Putnam,0.066,1.647,25
71,2,57123,Steven Fisk,0.060,1.560,26
72,2,29725,Tony Finau,0.058,1.867,32
73,2,57259,Dan Brown,0.053,1.050,20
74,2,54628,Lee Hodges,0.047,1.123,24
75,2,49960,Sepp Straka,0.040,0.925,23
76,2,63121,William Mouw,0.030,0.654,22
77,2,49771,J.T. Poston,0.027,0.648,24
78,2,59095,Chris Gotterup,0.023,0.680,29
79,2,59143,Mac Meissner,0.015,0.395,27
80,2,54576,Patrick Fishburn,0.009,0.125,14
81,2,46717,Viktor Hovland,0.008,0.173,22
82,2,34371,Adrien Saddier,0.004,0.083,21
83,2,48887,Matt Wallace,-0.013,-0.235,18
84,2,51287,Ryo Hisatsune,-0.028,-0.963,35
85,2,24502,Adam Scott,-0.029,-0.725,25
86,2,59836,Pierceson Coody,-0.030,-0.913,30
87,2,48867,Matti Schmid,-0.031,-1.003,32
88,2,51349,Nico Echavarria,-0.043,-1.077,25
89,2,39977,Max Homa,-0.045,-1.039,23
90,2,65256,David Ford,-0.055,-1.269,23
91,2,35450,Patrick Cantlay,-0.059,-1.238,21
92,2,50497,Adrien Dumont de Chassart,-0.072,-1.810,25
93,2,32757,Patton Kizzire,-0.081,-1.708,21
94,2,40098,Matt Fitzpatrick,-0.083,-2.170,26
95,2,49766,Hank Lebioda,-0.085,-1.870,22
96,2,49120,Kensei Hirata,-0.088,-1.925,22
97,2,37338,Zecheng Dou,-0.090,-2.423,27
98,2,46443,Brian Campbell,-0.093,-1.869,20
99,2,40026,Daniel Berger,-0.103,-2.881,28
100,2,25493,Nick Taylor,-0.106,-3.383,32
101,2,35532,Tom Hoge,-0.111,-2.992,27
102,2,50525,Collin Morikawa,-0.116,-2.085,18
103,2,51003,Marco Penge,-0.121,-2.779,23
104,2,52689,Rasmus Neergaard-Petersen,-0.138,-2.341,17
105,2,55573,John VanDerLaan,-0.142,-2.835,20
106,2,28237,Rory McIlroy,-0.148,-2.071,14
107,2,52375,Doug Ghim,-0.174,-3.490,20
108,2,33141,Keegan Bradley,-0.186,-3.903,21
109,2,57362,Austin Eckroat,-0.198,-4.360,22
110,2,27064,Jhonattan Vegas,-0.205,-4.519,22
111,2,49855,Kristoffer Reitan,-0.213,-5.322,25
112,2,55893,Sam Stevens,-0.218,-6.757,31
113,2,55182,Tom Kim,-0.221,-6.838,31
114,2,51997,Andrew Novak,-0.224,-6.272,28
115,2,48117,Kurt Kitayama,-0.227,-6.120,27
