"POS","PLAYER","TOTAL","R2","R1","R2","Total Strokes"
"1","Scottie Scheffler","-16","-10","64","60","124"
"2","Viktor Hovland","-14","-9","65","61","126"
"T3","Akshay Bhatia","-12","-8","66","62","128"
"T3","Eric Cole","-12","-5","63","65","128"
"T5","Bud Cauley","-10","-4","64","66","130"
"T5","Ben Griffin","-10","-4","64","66","130"
"T5","Matt Fitzpatrick","-10","-4","64","66","130"
"T8","Brian Campbell","-9","-7","68","63","131"
"T8","J.J. Spaun","-9","-5","66","65","131"
"T8","Justin Rose","-9","-4","65","66","131"
"T8","Tommy Fleetwood","-9","-6","67","64","131"
"T8","Patrick Cantlay","-9","-4","65","66","131"
"T8","Maverick McNealy","-9","-6","67","64","131"
"T14","Kurt Kitayama","-8","-7","69","63","132"
"T14","Harris English","-8","-4","66","66","132"
"T14","Keegan Bradley","-8","-5","67","65","132"
"T14","Sam Burns","-8","-4","66","66","132"
"T14","Wyndham Clark","-8","-6","68","64","132"
"T14","Ben James","-8","-6","68","64","132"
"T14","Robert MacIntyre","-8","-5","67","65","132"
"T14","Kristoffer Reitan","-8","-2","64","68","132"
"T22","Corey Conners","-7","-2","65","68","133"
"T22","Si Woo Kim","-7","-6","69","64","133"
"T22","Shane Lowry","-7","-5","68","65","133"
"T22","Nico Echavarria","-7","-1","64","69","133"
"T22","Aaron Rai","-7","-2","65","68","133"
"T27","Taylor Pendrith","-6","-3","67","67","134"
"T27","Sungjae Im","-6","-4","68","66","134"
"T27","J.T. Poston","-6","-3","67","67","134"
"T27","Brandt Snedeker","-6","-1","65","69","134"
"T27","Hideki Matsuyama","-6","-3","67","67","134"
"T27","Justin Thomas","-6","-4","68","66","134"
"T27","Jhonattan Vegas","-6","-5","69","65","134"
"T34","Alex Noren","-5","-4","69","66","135"
"T34","Rickie Fowler","-5","-4","69","66","135"
"T34","Michael Kim","-5","-3","68","67","135"
"T34","Keith Mitchell","-5","-3","68","67","135"
"T34","Denny McCarthy","-5","-2","67","68","135"
"T34","Jackson Suber","-5","-3","68","67","135"
"T34","Alex Fitzpatrick","-5","-4","69","66","135"
"T34","Collin Morikawa","-5","-4","69","66","135"
"T42","Chris Gotterup","-4","-5","71","65","136"
"T42","Mac Meissner","-4","-4","70","66","136"
"T42","Ryan Gerard","-4","-2","68","68","136"
"T42","Tony Finau","-4","-4","70","66","136"
"T42","Russell Henley","-4","E","66","70","136"
"T42","Xander Schauffele","-4","-1","67","69","136"
"T42","Brian Harman","-4","E","66","70","136"
"T49","Alex Smalley","-3","-4","71","66","137"
"T49","Daniel Berger","-3","-3","70","67","137"
"T49","Tom Hoge","-3","E","67","70","137"
"T49","Nicolai Højgaard","-3","-4","71","66","137"
"T49","Harry Hall","-3","E","67","70","137"
"T49","Ludvig Åberg","-3","-3","70","67","137"
"T55","Jason Day","-2","-2","70","68","138"
"T55","Ryo Hisatsune","-2","E","68","70","138"
"T57","Sam Stevens","-1","+1","68","71","139"
"T57","Andrew Novak","-1","+2","67","72","139"
"T57","Matt McCarty","-1","E","69","70","139"
"T57","Gary Woodland","-1","E","69","70","139"
"T57","Nick Taylor","-1","+1","68","71","139"
"T62","Jacob Bridgeman","E","E","70","70","140"
"T62","Jordan Spieth","E","-1","71","69","140"
"T62","Mark Hubbard","E","+1","69","71","140"
"T65","Sahith Theegala","+1","-3","74","67","141"
"T65","Min Woo Lee","+1","+3","68","73","141"
"T65","Jake Knapp","+1","-3","74","67","141"
"T68","Adam Scott","+2","+1","71","71","142"
"T68","Ryan Fox","+2","+1","71","71","142"
"70","Cameron Young","+3","+1","72","71","143"
"71","Lucas Glover","+4","-1","75","69","144"
"72","Sepp Straka","+5","+2","73","72","145"
