player_name,player_display,vts_rank,vts_tier,vts_final_raw,neutralskill_sg,vfd,vhd,vhd_rounds,anti_pattern_flags,anti_pattern_penalty_total,debut_flag,debut_class,debut_penalty_applied,win_pct_projected,top10_pct_projected,makecut_pct_projected,actual_pos,actual_total,actual_r1,actual_r2,actual_r3,actual_r4,actual_total_strokes,made_cut,sg_ott,sg_ott_rank,sg_approach,sg_approach_rank,sg_atg,sg_atg_rank,sg_putting,sg_putting_rank,sg_total,sg_total_rank,miss_type,accountability_verdict,lb_match_score,sg_match_score
Jackson Koivun,"Koivun, Jackson",1,1,85.09,0.9275,-5.32,0.024,4,,0.000,False,,0.0,3.15%,82.3%,93.1%,CUT,1,73,70,-,-,143,N,,-,,-,,,,,,,CRITICAL MISS — high makecut proj / thin VHD,JUSTIFIED MISS,100.0,100.0
Ben Griffin,"Griffin, Ben",2,1,80.81,1.41,-24.66,3.134,6,,0.000,False,,0.0,2.31%,68.4%,81.8%,T21,-13,69,65,70,67,271,Y,-0.183,45th,1.474,42nd,1.121,27th,3.497,22nd,5.91,T21,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Matt Wallace,"Wallace, Matt",3,2,79.59,0.44,-10.71,-0.027,2,,0.000,False,,0.0,2.16%,66.5%,81.1%,T33,-11,67,71,70,65,273,Y,-1.67,65th,6.23,3rd,-2.832,74th,2.181,31st,3.91,T33,FINISH MISS — projected top10 range,PARTIAL HIT,100.0,100.0
Tom Kim,"Kim, Tom",4,2,79.08,0.28,-8.16,-0.022,2,,0.000,False,,0.0,2.10%,65.7%,80.8%,T46,-9,67,68,69,71,275,Y,-0.144,44th,5.312,7th,-1.02,60th,-2.239,67th,1.91,T46,FINISH MISS — projected top10 range,PARTIAL HIT,100.0,100.0
Rickie Fowler,"Fowler, Rickie",5,2,75.97,1.18,-17.99,0.398,6,,0.000,False,,0.0,1.75%,60.5%,78.9%,T15,-14,70,69,63,68,270,Y,2.224,15th,2.318,31st,1.439,21st,0.928,45th,6.91,T15,,PARTIAL HIT,100.0,100.0
Chris Gotterup,"Gotterup, Chris",6,2,75.48,1.44,-24.75,2.691,10,bomb_and_spray; rough_approach_liab,-2.674,False,,0.0,1.70%,59.6%,78.5%,1,-20,66,68,68,62,264,Y,5.413,1st,-0.042,52nd,2.132,13th,5.406,5th,12.91,1st,,HIT,100.0,100.0
Jacob Bridgeman,"Bridgeman, Jacob",7,2,75.04,0.97,-16.31,2.014,6,,0.000,False,,0.0,1.66%,58.8%,78.2%,T26,-12,67,70,68,67,272,Y,1.3,27th,3.223,23rd,-2.45,73rd,2.836,27th,4.91,T26,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Keegan Bradley,"Bradley, Keegan",8,2,74.28,0.91,-18.44,-1.820,8,,0.000,False,,0.0,1.58%,57.4%,77.7%,T26,-12,70,69,69,64,272,Y,1.602,20th,0.561,49th,1.025,28th,1.721,37th,4.91,T26,PARTIAL MISS — projected contention,PARTIAL HIT,100.0,100.0
Zach Bauchou,"Bauchou, Zach",9,2,74.07,0.18,-4.70,0.000,0,,0.000,True,B,-1.75,1.80%,69.7%,94.7%,T67,-4,69,70,72,69,280,Y,-0.126,43rd,1.922,37th,-0.264,48th,-4.623,76th,-3.09,T67,FINISH MISS — projected top10 range,PARTIAL HIT,100.0,100.0
Eric Cole,"Cole, Eric",10,2,73.76,0.59,-15.62,0.582,14,,0.000,False,,0.0,1.53%,56.4%,77.3%,T39,-10,76,63,70,65,274,Y,0.573,35th,1.982,36th,-1.271,64th,1.625,39th,2.91,T39,FINISH MISS — projected top10 range,PARTIAL HIT,100.0,100.0
Christiaan Bezuidenhout,"Bezuidenhout, Christiaan",11,2,73.55,0.69,-11.98,0.577,8,,0.000,False,,0.0,1.51%,56.0%,77.1%,T12,-15,68,68,68,65,269,Y,-1.382,61st,4.29,14th,0.661,33rd,4.34,13th,7.91,T12,,PARTIAL HIT,100.0,100.0
Steven Fisk,"Fisk, Steven",12,2,72.80,0.03,-8.60,-0.035,2,,0.000,False,,0.0,1.45%,54.6%,76.5%,T67,-4,68,68,73,71,280,Y,1.7,19th,-3.628,75th,0.339,38th,-1.502,64th,-3.09,T67,FINISH MISS — projected top10 range,PARTIAL HIT,100.0,100.0
Jackson Suber,"Suber, Jackson",13,2,72.73,0.02,-7.44,-0.018,2,rough_approach_liab,-1.114,False,,0.0,1.44%,54.4%,76.5%,T6,-17,68,64,66,69,267,Y,3.104,7th,3.727,16th,2.501,8th,0.577,47th,9.91,T6,,HIT,100.0,100.0
Michael Thorbjornsen,"Thorbjornsen, Michael",14,2,72.42,0.71,-15.86,5.462,12,,0.000,False,,0.0,1.41%,53.8%,76.2%,CUT,-2,68,72,-,-,140,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
J.T. Poston,"Poston, J.T.",15,2,72.25,0.68,-12.62,0.078,26,rough_approach_liab,-1.178,False,,0.0,1.40%,53.5%,76.1%,T51,-8,68,69,71,68,276,Y,2.82,9th,-2.108,69th,-1.543,69th,1.74,36th,0.91,T51,FINISH MISS — projected top10 range,PARTIAL HIT,100.0,100.0
Michael Kim,"Kim, Michael",16,2,71.55,0.55,-13.44,0.637,22,,0.000,False,,0.0,1.34%,52.1%,75.5%,CUT,E,72,70,-,-,142,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
Denny Mccarthy,"Mccarthy, Denny",17,2,71.36,0.51,-12.87,1.975,24,,0.000,False,,0.0,1.32%,51.8%,75.3%,CUT,E,71,71,-,-,142,N,,-,,-,,,,,,,CUT MISS — within variance,MISS,100.0,100.0
Mac Meissner,"Meissner, Mac",18,2,70.81,0.72,-15.29,1.986,6,bomb_and_spray,-1.100,False,,0.0,1.28%,50.7%,74.8%,T6,-17,67,70,66,64,267,Y,0.289,38th,1.026,46th,0.189,T40,8.405,2nd,9.91,T6,,HIT,100.0,100.0
Max Homa,"Homa, Max",19,2,70.79,0.49,-11.83,4.208,10,,0.000,False,,0.0,1.28%,50.6%,74.8%,2,-19,67,66,68,64,265,Y,1.593,21st,3.434,20th,3.819,2nd,3.063,25th,11.91,2nd,,HIT,100.0,100.0
